Months,Outdoor,TV,Digital,Seasonality_Yes,External_Factors_Yes,Competition_Spends_more,Sales
1/1/2018,0,0,0,0,0,1,515685
2/1/2018,293370,0,1471095,0,0,1,679833
3/1/2018,312039,9697156,4371643,0,0,0,600159
4/1/2018,0,737651,113233,0,0,1,598526
5/1/2018,133350,32747027,11781148,1,0,0,743558
6/1/2018,223361,24599967,12825870,1,0,0,602623
7/1/2018,263366,707659,10519987,1,0,0,736474
8/1/2018,263366,0,406842,1,0,1,1004870
9/1/2018,1669505,0,11175073,0,0,0,524752
10/1/2018,1729518,0,10170066,0,0,0,531620
11/1/2018,2782801,0,2927716,0,0,0,626203
12/1/2018,314706,0,9587578,1,0,0,734769
1/1/2019,0,86858,592952,1,0,1,799850
2/1/2019,0,0,204807,0,0,1,710652
3/1/2019,0,19602,94,0,0,1,777944
4/1/2019,0,5540770,76730,0,0,0,712596
5/1/2019,258366,36075684,119595,1,0,0,959870
6/1/2019,201692,3483629,37369,1,0,1,548837
7/1/2019,113348,0,47247,1,0,1,1002152
8/1/2019,53340,0,74589,1,0,1,830231
9/1/2019,53340,1449265,58742,0,1,0,430550
10/1/2019,122015,5010452,14046,0,1,0,526253
11/1/2019,0,14828,82593,0,0,1,559034
12/1/2019,177800,3054429,25984,1,0,1,631093
1/1/2020,0,1936324,0,0,0,1,592622
2/1/2020,0,0,914,0,0,1,560027
3/1/2020,672084,0,22143,0,1,1,341656
4/1/2020,336042,7922116,118565,0,1,1,191338
5/1/2020,3360420,27891048,124966,1,1,1,268623
6/1/2020,0,2703872,316433,0,1,1,378663
7/1/2020,0,0,61030,0,1,1,275447
8/1/2020,0,0,50976,0,1,1,314034
9/1/2020,165354,0,87028,0,0,1,375677
10/1/2020,656082,5760170,63886,0,0,0,344168
11/1/2020,200025,4000645,144372,0,0,0,362367
12/1/2020,389382,1237775,216436,0,0,1,405244
1/1/2021,61341,80010,2222,0,0,1,385280
2/1/2021,0,0,14984,0,1,1,436595
3/1/2021,1126674,0,137704,0,1,1,434955
4/1/2021,1134675,34897941,265719,1,0,0,324625
5/1/2021,0,18420046,84856,1,0,0,321310
6/1/2021,1478852,0,31193,0,0,0,308203
7/1/2021,0,2018542,197669,0,0,0,295928
8/1/2021,0,455832,19992,0,0,1,350702
9/1/2021,280035,0,48870,0,0,1,360923
10/1/2021,1717948,0,77748,0,0,1,374304
11/1/2021,677418,0,122337,0,0,1,413139
12/1/2021,0,0,376097,0,0,1,504803
